,area_type,availability,location,size,society,total_sqft,bath,balcony,price
1374,Super built-up  Area,20-Dec,Pragathi Nagar Kukatpally,4 BHK,Caycend,2090,4.0,0.0,95.1
1375,Super built-up  Area,Ready To Move,Yapral,3 BHK,Soiewre,1519,3.0,1.0,93.0
1376,Built-up  Area,Ready To Move,Narsingi,3 BHK,Asene S,1267,3.0,2.0,56.0
1377,Super built-up  Area,Ready To Move,Hitech City,2 BHK,Camesa ,1150,2.0,3.0,72.2
1378,Super built-up  Area,19-Dec,Kukatpally,2 BHK,PrensKe,1146,2.0,1.0,70.0
1380,Built-up  Area,Ready To Move,Kokapet,3 BHK,Marnaer,1550,3.0,3.0,65.0
1381,Built-up  Area,Ready To Move,Narayanguda,2 BHK,KHityry,850,1.0,1.0,18.5
1386,Built-up  Area,Ready To Move,Bachupally Road,3 BHK,Avlya A,1610,3.0,2.0,74.0
1387,Super built-up  Area,Ready To Move,Bachupally Road,2 BHK,Krine O,921,2.0,2.0,40.0
1390,Super built-up  Area,Ready To Move,TellapurOsman Nagar Road,3 BHK,SocusHi,1700,3.0,3.0,110.0
1391,Built-up  Area,Ready To Move,TellapurOsman Nagar Road,2 BHK,Sondaka,1020,2.0,2.0,35.0
1392,Super built-up  Area,Ready To Move,Tellapur,2 BHK,Dintsmi,1090,2.0,3.0,52.0
1395,Super built-up  Area,Ready To Move,Bachupally Road,2 BHK,MenueNo,1185,2.0,2.0,42.1
1396,Super built-up  Area,Ready To Move,Hitech City,2 BHK,Prianhi,850,2.0,1.0,25.0
1397,Built-up  Area,Ready To Move,Hitech City,2 BHK,Prncyrn,1197,2.0,1.0,84.0
1398,Super built-up  Area,Ready To Move,Hitech City,4 BHK,ETntsce,3500,3.0,3.0,450.0
1401,Super built-up  Area,Ready To Move,Serilingampally,2 BHK,i1rtsCo,1105,2.0,1.0,65.0
1402,Super built-up  Area,Ready To Move,Serilingampally,3 BHK,GoandAc,1850,3.0,3.0,100.0
1403,Super built-up  Area,20-Dec,Serilingampally,3 BHK,PrarePa,1300,3.0,1.0,64.0
1405,Super built-up  Area,19-Dec,Serilingampally,4 BHK,Priesla,3073,5.0,2.0,696.0
1410,Super built-up  Area,20-Oct,Serilingampally,2 BHK,PrarePa,900,2.0,1.0,46.0
1414,Super built-up  Area,Ready To Move,Serilingampally,3 BHK,PrliaRe,1654,3.0,2.0,100.0
1417,Built-up  Area,Ready To Move,Bachupally Road,2 BHK,Hoens T,1367,2.0,2.0,62.0
1418,Super built-up  Area,Ready To Move,Serilingampally,2 BHK,Brntsal,1010,2.0,1.0,51.0
1420,Carpet  Area,Ready To Move,Serilingampally,3 BHK,SVon hn,1535,3.0,1.0,95.0
1424,Super built-up  Area,18-Dec,Kondapur,2 BHK,BSlasin,1330,2.0,1.0,71.0
1425,Built-up  Area,Ready To Move,Kukatpally,3 Bedroom,Ronty C,2500,3.0,2.0,135.0
1427,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,BSisear,1410,3.0,1.0,65.0
1429,Super built-up  Area,Ready To Move,Tellapur,3 BHK,PuziaVe,1614,3.0,2.0,95.0
1430,Super built-up  Area,Ready To Move,Kondapur,2 BHK,GeereEc,1363,2.0,2.0,68.0
1436,Super built-up  Area,Ready To Move,Attapur,2 BHK,Ravashw,930,2.0,1.0,45.0
1441,Super built-up  Area,18-Mar,Kukatpally,3 BHK,Alestrb,1890,4.0,3.0,127.0
1442,Super built-up  Area,Ready To Move,Madhapur,3 BHK,Vaour S,2197,4.0,3.0,280.0
1443,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,GonumPl,3522,3.0,2.0,380.0
1445,Built-up  Area,Ready To Move,Pragathi Nagar Kukatpally,2 BHK,Vaaveeh,1440,2.0,2.0,98.0
1447,Super built-up  Area,19-Jun,Pragathi Nagar Kukatpally,1 BHK,Brstaue,764,1.0,1.0,32.0
1449,Super built-up  Area,Ready To Move,TellapurOsman Nagar Road,3 BHK,GrrvaGr,1693,3.0,3.0,57.39
1450,Built-up  Area,Ready To Move,Nanakramguda,3 BHK,Macanr ,1445,3.0,2.0,65.0
1451,Super built-up  Area,21-Oct,Kokapet,2 BHK,PrarePa,900,1.0,0.0,45.0
1453,Super built-up  Area,Ready To Move,Nizampet,3 BHK,Pyikad ,1381,2.0,2.0,52.48
1454,Built-up  Area,Ready To Move,Bachupally Road,2 BHK,Krtiqa ,1100,2.0,1.0,60.0
1457,Super built-up  Area,Ready To Move,TellapurOsman Nagar Road,2 BHK,Dhalsh ,1200,2.0,2.0,43.2
1458,Super built-up  Area,Ready To Move,TellapurOsman Nagar Road,2 BHK,GradeMR,1080,2.0,2.0,80.0
1461,Super built-up  Area,19-Dec,Happy Homes Colony,3 BHK,Ceezey ,1865,3.0,1.0,124.0
1462,Super built-up  Area,18-Nov,Pragathi Nagar Kukatpally,3 BHK,AsastDe,1157,2.0,1.0,75.0
1463,Super built-up  Area,Ready To Move,Pragathi Nagar,2 BHK,Icingpy,674,2.0,1.0,29.0
1464,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,AdndeBe,1405,2.0,1.0,78.0
1465,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,Dhalsh ,1160,2.0,2.0,44.08
1467,Super built-up  Area,21-Mar,Serilingampally,3 BHK,Oztarol,1790,3.0,2.0,127.0
1468,Super built-up  Area,18-May,Pragathi Nagar Kukatpally,2 BHK,Prarkun,1128,2.0,1.0,65.65
1469,Super built-up  Area,Ready To Move,Serilingampally,2 BHK,Arentpa,1180,2.0,1.0,70.0
1474,Super built-up  Area,Ready To Move,Pragathi Nagar Kukatpally,2 BHK,Pethaai,1125,2.0,2.0,40.0
1475,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,Prlla C,1246,2.0,1.0,68.0
1476,Super built-up  Area,Ready To Move,Yapral,2 BHK,SrisePo,1372,2.0,1.0,61.0
1477,Super built-up  Area,Ready To Move,Tellapur,3 BHK,Aklia R,1330,2.0,1.0,56.0
1478,Super built-up  Area,19-Dec,Pragathi Nagar Kukatpally,3 BHK,She 2rk,2465,5.0,2.0,234.0
1482,Super built-up  Area,Ready To Move,Bachupally Road,2 BHK,Unm 2El,1065,2.0,1.0,35.0
1484,Carpet  Area,18-Mar,Serilingampally,2 BHK,Arcia S,547.34 - 827.31,2.0,0.0,42.72
1485,Super built-up  Area,Ready To Move,Kondapur,2 BHK,Viiniai,1050,2.0,1.0,45.0
1487,Built-up  Area,Ready To Move,Kukatpally,2 BHK,Palleon,865,2.0,0.0,42.0
1489,Built-up  Area,Ready To Move,Miyapur,3 BHK,NRnoral,1756,3.0,3.0,100.0
1491,Super built-up  Area,Ready To Move,Serilingampally,1 BHK,Ardanru,628,1.0,1.0,24.0
1494,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,KlarkBe,1765,3.0,1.0,125.0
1496,Super built-up  Area,18-Jun,Karmanghat,3 BHK,Ozana U,1532,3.0,3.0,92.0
1497,Built-up  Area,Ready To Move,NRSA Colony,3 BHK,DSncele,1650,3.0,0.0,110.0
1499,Carpet  Area,18-Dec,Adibatla,2 BHK,Rosha I,804.1,2.0,1.0,69.09
1502,Built-up  Area,Ready To Move,Methodist Colony,2 BHK,Paarklu,1200,2.0,2.0,66.0
1503,Super built-up  Area,Ready To Move,Ameerpet,3 BHK,Shony S,1385,2.0,2.0,48.48
1504,Super built-up  Area,Ready To Move,Moula Ali,2 BHK,Cearkry,1010,2.0,3.0,148.0
1505,Super built-up  Area,Ready To Move,Pragathi Nagar Kukatpally,3 BHK,UKe 2nz,2225,3.0,3.0,115.0
1506,Super built-up  Area,Ready To Move,BK Guda Internal Road,2 BHK,Niimet ,1180,2.0,2.0,48.0
1510,Built-up  Area,Ready To Move,Tellapur,1 BHK,Jae 2hu,400,1.0,1.0,14.0
1511,Super built-up  Area,Ready To Move,Kondapur,2 BHK,Asene S,1200,2.0,2.0,50.0
1512,Super built-up  Area,21-Mar,Pragathi Nagar Kukatpally,2 BHK,PritaDo,1272,2.0,1.0,95.05
1513,Super built-up  Area,Ready To Move,Serilingampally,2 BHK,SSthamh,1205,2.0,1.0,39.0
1514,Built-up  Area,Ready To Move,Serilingampally,2 BHK,ARomee ,980,2.0,1.0,40.0
1517,Super built-up  Area,Ready To Move,Bachupally Road,3 BHK,DNeremo,1610,2.0,2.0,111.0
1518,Super built-up  Area,Ready To Move,Bachupally Road,2 BHK,Tahtsla,1694,2.0,2.0,125.0
1520,Super built-up  Area,Ready To Move,Bachupally Road,2 BHK,Baowsig,950,2.0,1.0,39.0
1521,Super built-up  Area,Ready To Move,ALIND Employees Colony,3 BHK,Laderav,1560,2.0,3.0,66.0
1526,Super built-up  Area,Ready To Move,Krishna Reddy Pet,2 BHK,CoapeSo,910,2.0,2.0,42.0
1528,Super built-up  Area,Ready To Move,Dammaiguda,2 BHK,Vangsld,1291,2.0,3.0,49.0
1530,Super built-up  Area,Ready To Move,Serilingampally,2 BHK,Soamsay,1012,2.0,1.0,66.5
1532,Super built-up  Area,Ready To Move,Padmarao Nagar,2 BHK,Maantr ,1282,2.0,2.0,72.0
1533,Super built-up  Area,Ready To Move,Bachupally,3 BHK,Puestol,1843,3.0,2.0,92.15
1535,Built-up  Area,Ready To Move,Gajulramaram Kukatpally,5 Bedroom,Theanmp,3356,5.0,2.0,105.0
1536,Super built-up  Area,19-Mar,Pragathi Nagar Kukatpally,4 BHK,Raard B,2790,5.0,3.0,198.0
1537,Super built-up  Area,Ready To Move,Miyapur,2 BHK,BrontLa,1330,2.0,1.0,86.98
1538,Super built-up  Area,Ready To Move,Nizampet,3 BHK,A rtsai,1400,2.0,1.0,73.0
1541,Super built-up  Area,Ready To Move,Gachibowli,2 BHK,Prtanha,1297,2.0,2.0,103.0
1542,Super built-up  Area,19-Jul,Gachibowli,1 BHK,Sasta S,580 - 650,1.0,0.0,17.835
1543,Super built-up  Area,21-Jun,Gachibowli,3 BHK,Saahaat,1490,3.0,2.0,100.0
1544,Super built-up  Area,Ready To Move,Bachupally Road,3 BHK,MJeusyl,1373,3.0,2.0,72.0
1549,Super built-up  Area,Ready To Move,Mayuri Nagar,3 BHK,Klort C,1750,3.0,2.0,95.0
1550,Super built-up  Area,Ready To Move,Sanath Nagar,2 BHK,A idse ,1052,2.0,2.0,50.0
1555,Super built-up  Area,Ready To Move,Appa Junction Peerancheru,2 BHK,GrrvaGr,1128,2.0,2.0,38.24
1557,Super built-up  Area,18-Jul,Moula Ali,2 BHK,DSvvyx ,1120,2.0,2.0,33.6
1560,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,SPavenc,1090,2.0,2.0,32.69
1563,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,SLnssPr,1330,2.0,2.0,46.55
1564,Super built-up  Area,18-Jul,Bachupally Road,3 BHK,PuendWe,1427,2.0,1.0,80.63
1566,Built-up  Area,Ready To Move,Adda Gutta,3 BHK,Vantspa,1580,3.0,2.0,75.0
1568,Plot  Area,Ready To Move,Central Excise Colony Hyderabad,3 Bedroom,FiriaVi,1808,4.0,2.0,80.27
1569,Super built-up  Area,Ready To Move,Gachibowli,4 BHK,PhestOn,3516,4.0,3.0,540.0
1570,Super built-up  Area,Ready To Move,Gachibowli,2 BHK,Peide L,1194,2.0,2.0,47.0
1571,Super built-up  Area,21-Dec,Krishna Reddy Pet,2 BHK,PrarePa,900,2.0,1.0,46.0
1573,Super built-up  Area,21-Oct,LB Nagar,2 BHK,PrarePa,900,2.0,1.0,46.0
1579,Super built-up  Area,Ready To Move,Gopal Nagar,3 BHK,Cemesti,1390,3.0,1.0,120.0
1581,Built-up  Area,Ready To Move,Bachupaly Road Miyapur,2 BHK,Prityel,845,2.0,1.0,33.0
1582,Super built-up  Area,Ready To Move,ECIL Main Road,3 BHK,Niareum,1537,3.0,3.0,120.0
1584,Super built-up  Area,19-Dec,Kushaiguda,3 BHK,Caycend,1512,3.0,2.0,75.77
1586,Super built-up  Area,Ready To Move,Kushaiguda,3 BHK,DLhtsen,1230,3.0,3.0,54.0
1587,Super built-up  Area,18-Apr,Tellapur,3 BHK,MNtha A,1378,2.0,3.0,42.33
1588,Super built-up  Area,17-Oct,Hitech City,2 BHK,Asarqz ,1277,2.0,1.0,61.3
1589,Super built-up  Area,19-Jun,Bachupally Road,3 BHK,Raard B,1985,4.0,2.0,189.0
1591,Super built-up  Area,Ready To Move,Kokapet,2 BHK,SVmesVi,1210,2.0,2.0,62.0
1595,Built-up  Area,Ready To Move,Bachupally Road,4 BHK,AWharde,3198,4.0,3.0,200.0
1597,Super built-up  Area,Ready To Move,Barkatpura,4 BHK,Prersis,2483,5.0,2.0,215.0
1599,Super built-up  Area,Ready To Move,Kondapur,4 BHK,Vaunei ,4111,4.0,1.0,310.0
1600,Super built-up  Area,Ready To Move,ECIL,2 BHK,SNncypa,975,2.0,2.0,37.5
1602,Super built-up  Area,Ready To Move,Nizampet,3 BHK,PuoodSk,1690,3.0,1.0,125.0
1603,Super built-up  Area,18-May,Bachupally Road,2 BHK,SStusan,1063,2.0,1.0,31.89
1606,Built-up  Area,Ready To Move,Medchal,3 BHK,InockHo,1600,3.0,0.0,80.0
1608,Super built-up  Area,Ready To Move,Gachibowli,1 BHK,Prtusth,520,1.0,0.0,19.5
1610,Built-up  Area,Ready To Move,Pragathi Nagar Kukatpally,3 BHK,Keids O,1390,3.0,2.0,68.0
1611,Super built-up  Area,18-May,Gachibowli,2 BHK,SSdhimr,1185,2.0,2.0,40.0
1612,Super built-up  Area,Ready To Move,Bagh Amberpet,2 BHK,KVersuj,1219,2.0,2.0,48.0
1613,Super built-up  Area,18-Dec,Bachupally Road,3 BHK,Sanzaat,1564,2.0,1.0,92.0
1614,Super built-up  Area,Ready To Move,Tellapur,4 BHK,DSndsod,3425 - 3435,6.0,0.0,228.5
1615,Super built-up  Area,Ready To Move,BK Guda Internal Road,2 BHK,Sancei ,1100,2.0,2.0,37.1
1616,Built-up  Area,Ready To Move,Hitech City,3 BHK,Esale O,1300,2.0,0.0,60.0
1619,Super built-up  Area,19-Mar,Banjara Hills,3 BHK,Puachal,1482,2.0,1.0,92.0
1620,Plot  Area,18-May,Gajularamaram,3 Bedroom,MGave E,1000,4.0,3.0,66.0
1626,Super built-up  Area,19-Dec,new nallakunta,3 BHK,PrensKe,1469,3.0,1.0,89.0
1629,Super built-up  Area,Ready To Move,Gajularamaram,2 BHK,Soresea,1205,2.0,1.0,78.5
1631,Super built-up  Area,Ready To Move,Gajularamaram,3 BHK,MauilTr,1745,3.0,2.0,125.0
1632,Super built-up  Area,Ready To Move,Gajularamaram,2 BHK,Kamesar,1028,2.0,1.0,42.0
1633,Super built-up  Area,Ready To Move,BHEL,3 BHK,CaaveEn,1700,3.0,1.0,180.0
1634,Super built-up  Area,Ready To Move,Sun City,3 BHK,NadriNe,1200,2.0,1.0,34.0
1635,Super built-up  Area,Ready To Move,Alwal,3 BHK,Soianal,2700,4.0,1.0,270.0
1636,Built-up  Area,Ready To Move,Bachupally Road,2 BHK,BSarknd,1100,2.0,2.0,50.0
1638,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,Dural C,1269.72,2.0,2.0,68.0
1639,Super built-up  Area,Ready To Move,Nallakunta,2 BHK,SJmesst,1266,2.0,2.0,59.0
1640,Super built-up  Area,Ready To Move,Nizampet,2 BHK,Srkha S,1060,2.0,1.0,62.0
1641,Plot  Area,Ready To Move,Madinaguda,3 Bedroom,Copust ,1168,3.0,0.0,70.0
1642,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,Sancya ,1552,2.0,1.0,51.0
1643,Super built-up  Area,18-May,Kokapet,3 BHK,Sodgere,1804 - 2273,3.0,0.0,120.0
1644,Super built-up  Area,Ready To Move,Nanakramguda,1 BHK,Jae 1hu,500,1.0,1.0,17.0
1647,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,Shntsan,1300,2.0,2.0,65.0
1648,Built-up  Area,Ready To Move,Bachupally Road,2 BHK,SNavenc,920,2.0,2.0,33.0
1650,Built-up  Area,Ready To Move,Bachupally Road,2 BHK,SrEndPo,1310,2.0,1.0,50.0
1652,Super built-up  Area,Ready To Move,Bachupally Road,3 BHK,DSidePr,1515,3.0,3.0,93.93
1653,Super built-up  Area,18-Dec,Nallagandla Road,2 BHK,Prllsan,1157,2.0,1.0,53.8
1655,Super built-up  Area,Ready To Move,Kokapet,4 BHK,Siisega,3000,4.0,3.0,160.0
1658,Super built-up  Area,Ready To Move,Nallagandla Gachibowli,3 BHK,Sovar S,1530,2.0,2.0,74.39
1659,Super built-up  Area,Ready To Move,Kapra,3 BHK,HRnyaAn,2070,3.0,3.0,162.0
1660,Built-up  Area,Ready To Move,Madinaguda,3 BHK,PrrloMo,1815,3.0,2.0,82.0
1661,Super built-up  Area,Ready To Move,Madhapur,4 BHK,Maana E,3900,4.0,3.0,300.0
1662,Super built-up  Area,18-Aug,Gachibowli,2 BHK,Sryalan,1000,2.0,1.0,28.88
1664,Super built-up  Area,Ready To Move,Kokapet,2 BHK,Puachal,1232,2.0,2.0,89.0
1665,Super built-up  Area,19-Dec,Kokapet,3 BHK,Shestlo,1282,3.0,2.0,178.0
1666,Super built-up  Area,Ready To Move,Kukatpally,1 BHK,Prensya,654,1.0,1.0,38.4
1668,Super built-up  Area,Ready To Move,Balanagar,3 BHK,Prityel,1075,2.0,1.0,45.0
1670,Super built-up  Area,Ready To Move,Pragathi Nagar,3 BHK,DSineun,1616,3.0,1.0,75.0
1673,Super built-up  Area,20-Dec,Kondapur,3 BHK,Somns T,1306,3.0,2.0,54.65
1674,Super built-up  Area,Ready To Move,Ramnagar Gundu,3 BHK,Nillsre,1626,3.0,3.0,89.0
1676,Super built-up  Area,Ready To Move,Nallakunta,3 BHK,Sudama ,1585,3.0,2.0,88.0
1679,Super built-up  Area,Ready To Move,Gachibowli,2 BHK,Goelsn ,1495,2.0,2.0,90.0
1683,Super built-up  Area,Ready To Move,Attapur,4 BHK,Brica E,3630 - 3800,6.0,0.0,224.5
1690,Super built-up  Area,Ready To Move,Kokapet,3 BHK,Brtiael,1645,3.0,2.0,100.0
1691,Super built-up  Area,Ready To Move,Bachupally Road,3 BHK,AkletBa,1760,3.0,3.0,176.0
1692,Built-up  Area,Ready To Move,Bachupally Road,1 BHK,Raiyai ,595,1.0,1.0,42.0
1693,Plot  Area,Ready To Move,Serilingampally,3 Bedroom,Prana S,1200,3.0,1.0,125.0
1694,Super built-up  Area,18-Dec,Suchitra,4 BHK,Pehtsa ,4000 - 5249,4.0,0.0,314.5
1695,Built-up  Area,Ready To Move,Alkapur township,2 BHK,Vaodak ,1410,2.0,3.0,67.0
1698,Super built-up  Area,Ready To Move,Nallagandla Gachibowli,2 BHK,Maaveal,1300,2.0,2.0,60.0
1699,Built-up  Area,Ready To Move,Banjara Hills Road Number 12,3 BHK,ImiteEl,1890,2.0,2.0,85.0
1700,Super built-up  Area,Ready To Move,Narsingi,2 BHK,SLwernf,1254,2.0,1.0,53.0
1704,Built-up  Area,Ready To Move,Kukatpally,2 BHK,TealdEm,1170,2.0,2.0,86.0
1705,Super built-up  Area,18-Apr,Kukatpally,2 BHK,Prcesvy,1193,2.0,1.0,86.0
1707,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,PadgeOa,1678,3.0,3.0,70.0
1708,Built-up  Area,Ready To Move,Suchitra,3 BHK,NDrelau,1600,3.0,3.0,75.0
1709,Super built-up  Area,Ready To Move,ECIL Main Road,3 BHK,GaicaVe,1750,3.0,2.0,84.0
1712,Plot  Area,Ready To Move,Pragathi Nagar Kukatpally,3 Bedroom,CoiewSy,1500Sq. Meter,3.0,1.0,95.0
1713,Built-up  Area,Ready To Move,Chandanagar,3 BHK,Peentn ,2800,2.0,0.0,200.0
1715,Built-up  Area,Ready To Move,Nagole,2 BHK,Riave E,1000,2.0,1.0,50.0
1717,Built-up  Area,18-Dec,Pragathi Nagar Kukatpally,3 BHK,Sryalan,1320,2.0,1.0,38.13
1719,Super built-up  Area,Ready To Move,Serilingampally,4 BHK,AWharde,2422,4.0,2.0,160.0
1720,Built-up  Area,Ready To Move,Kukatpally,2 BHK,TNaldme,1100,2.0,1.0,50.0
1721,Built-up  Area,Ready To Move,Kukatpally,2 BHK,Gaent R,882,2.0,1.0,30.0
1722,Super built-up  Area,Ready To Move,Kondapur,2 BHK,Prityel,845,2.0,1.0,37.0
1723,Super built-up  Area,Ready To Move,Kondapur,2 BHK,Prrtht ,883,2.0,1.0,39.0
1725,Super built-up  Area,Ready To Move,Gajularamaram,3 BHK,Gotaten,1595,3.0,3.0,88.0
1726,Built-up  Area,Ready To Move,Gachibowli,2 BHK,Gotis A,1280,2.0,0.0,85.0
1728,Super built-up  Area,Ready To Move,Manikonda,2 BHK,NaaveEn,920,2.0,0.0,35.0
1729,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,GRlpank,1300,2.0,3.0,57.0
1730,Super built-up  Area,Ready To Move,Kukatpally,2 BHK,Malex C,1450,1.0,0.0,230.0
1731,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,SosicCl,1757,3.0,2.0,132.0
1736,Super built-up  Area,18-Feb,Sun City,2 BHK,BrontLa,1330,2.0,1.0,93.36
1737,Super built-up  Area,Ready To Move,Gachibowli,2 BHK,MBodsen,1062,2.0,1.0,42.47
1738,Built-up  Area,Ready To Move,Kukatpally,2 BHK,DSillto,1078,2.0,2.0,45.0
1739,Super built-up  Area,Ready To Move,Kukatpally,3 BHK,SNity S,1460,2.0,2.0,72.0
1743,Super built-up  Area,19-Mar,Bachupally,3 BHK,Sosisic,142.61Sq. Meter,3.0,1.0,115.0
1745,Plot  Area,Ready To Move,Chandanagar,4 Bedroom,Prigh L,2028,4.0,3.0,162.0
1746,Super built-up  Area,19-Apr,Serilingampally,2 BHK,Brama P,980,2.0,1.0,45.47
1747,Built-up  Area,Ready To Move,Manikonda,2 BHK,Usquaya,1000,2.0,2.0,40.0
1748,Super built-up  Area,Ready To Move,Kokapet,2 BHK,Ahriaup,1050,2.0,1.0,62.0
1750,Super built-up  Area,Ready To Move,Nanakramguda,3 BHK,Saiewas,1875,2.0,2.0,150.0
1755,Built-up  Area,Ready To Move,Kokapet,3 BHK,Shlashi,1725,2.0,2.0,100.0
1757,Super built-up  Area,Ready To Move,Jubilee Hills,2 BHK,Adity S,1128,2.0,2.0,75.0
1759,Super built-up  Area,Ready To Move,Kokapet,3 BHK,Prensya,1705,3.0,1.0,74.16
1762,Built-up  Area,Ready To Move,Bachupally Road,2 BHK,AkncyRe,1100,2.0,2.0,50.0
1764,Super built-up  Area,18-May,New Maruthi Nagar,2 BHK,Arcia S,812,2.0,2.0,55.0
1767,Super built-up  Area,Ready To Move,Kondapur,2 BHK,BruntPa,1420,2.0,2.0,136.0
1774,Super built-up  Area,Ready To Move,Bachupally Road,3 BHK,ToSky F,2800,3.0,1.0,330.0
1776,Carpet  Area,Ready To Move,Bachupally Road,3 BHK,Fanorrt,1650,3.0,3.0,175.0
1777,Built-up  Area,Ready To Move,Bachupally Road,2 BHK,Raave E,840,2.0,2.0,27.0
1778,Built-up  Area,Ready To Move,Bachupally Road,2 BHK,DLhtsan,914,2.0,2.0,47.0
1779,Super built-up  Area,19-Mar,Bachupally Road,3 BHK,Puachal,1482,2.0,2.0,83.73
1780,Super built-up  Area,17-Dec,Bachupally Road,3 BHK,Dieldli,1724,3.0,2.0,127.0
1781,Super built-up  Area,Ready To Move,Bachupally Road,3 BHK,Vadidpl,1670,3.0,3.0,91.86
1785,Super built-up  Area,Ready To Move,Bandlaguda Jagir,2 BHK,DLhtsen,927,2.0,2.0,55.0
1787,Built-up  Area,18-Aug,Nanakramguda,3 BHK,Sryalan,1220,3.0,1.0,35.23
1788,Built-up  Area,Ready To Move,Hitech City,3 BHK,GMown E,1360,2.0,1.0,75.0
1790,Super built-up  Area,Ready To Move,Suchitra,2 BHK,Hiestre,1180,2.0,2.0,72.0
1791,Super built-up  Area,Ready To Move,Kondapur,3 BHK,Prtates,1697,3.0,2.0,108.0
1793,Super built-up  Area,Ready To Move,Kondapur,2 BHK,Shateor,1225,2.0,1.0,57.0
1794,Super built-up  Area,Ready To Move,Kokapet,3 BHK,ViisePa,1690,2.0,2.0,55.0
1797,Built-up  Area,Ready To Move,Kokapet,3 BHK,Keharya,1250,2.0,1.0,80.0
1798,Super built-up  Area,Ready To Move,Kokapet,1 BHK,Duoveoo,1050,1.0,1.0,44.0
1800,Super built-up  Area,21-May,Kokapet,3 BHK,GolusLi,1699,3.0,3.0,81.94
1801,Built-up  Area,Ready To Move,Kokapet,2 BHK,Viaree ,1205,2.0,2.0,58.0
1805,Super built-up  Area,Ready To Move,Kokapet,3 BHK,Hiows C,1476,3.0,1.0,120.0
1807,Super built-up  Area,Ready To Move,Kokapet,3 BHK,BrontLa,2160,4.0,2.0,172.0
1808,Super built-up  Area,Ready To Move,Kokapet,2 BHK,Putus L,1296,2.0,1.0,75.0
1810,Super built-up  Area,Ready To Move,Gachibowli,3 BHK,JRrnauv,1570,3.0,3.0,64.5
1811,Super built-up  Area,Ready To Move,Gachibowli,2 BHK,Saace P,1300,2.0,3.0,110.0
1813,Super built-up  Area,Ready To Move,Madhavaram Nagar Colony,2 BHK,GMown E,770,1.0,1.0,40.0
1816,Super built-up  Area,Ready To Move,Kokapet,3 BHK,Valipf ,1429,3.0,3.0,86.0
1818,Super built-up  Area,18-May,Nanakramguda,2 BHK,SSestth,1035,2.0,1.0,41.73
1821,Plot  Area,Ready To Move,Miyapur Bachupally Road,3 Bedroom,Inensba,1574Sq. Yards,3.0,1.0,76.0
1822,Super built-up  Area,Ready To Move,Pragathi Nagar Road,1 BHK,MaentNa,884,2.0,2.0,36.0
1824,Super built-up  Area,19-Dec,Gachibowli,2 BHK,Caycend,1026,2.0,1.0,60.87
1828,Super built-up  Area,18-Dec,Nallagandla Gachibowli,4 BHK,Jaades ,2690,4.0,3.0,191.0
1829,Super built-up  Area,Ready To Move,Kokapeta Village,2 BHK,Mayne A,975,2.0,1.0,58.0
1834,Super built-up  Area,Ready To Move,Hitech City,3 BHK,Maana E,1700,3.0,3.0,135.0
1835,Super built-up  Area,Ready To Move,Alwal,4 BHK,PrOakSi,3606,4.0,2.0,312.0
1836,Super built-up  Area,Ready To Move,Somajiguda,2 BHK,ACersd ,1258,2.0,2.0,115.0
1838,Super built-up  Area,Ready To Move,Nanakramguda,4 BHK,Brica E,3630,6.0,1.0,195.0
1839,Built-up  Area,Ready To Move,Kondapur,3 BHK,Adace P,2000,3.0,2.0,250.0
1840,Super built-up  Area,19-Jun,Nanakramguda,4 BHK,Raard B,2790,4.0,3.0,198.0
1841,Super built-up  Area,20-Jan,Nanakramguda,3 BHK,DNncasa,1494,2.0,2.0,94.55
1842,Super built-up  Area,18-Oct,Bachupally,3 BHK,Puachal,1482,2.0,1.0,87.0
1843,Super built-up  Area,Ready To Move,Nanakramguda,2 BHK,Inuseda,800,2.0,3.0,50.0
1845,Super built-up  Area,Ready To Move,Kondapur,2 BHK,RatosAr,1100,2.0,2.0,71.5
1847,Super built-up  Area,Ready To Move,Kondapur,2 BHK,EvestPi,1225,2.0,2.0,150.0
1850,Built-up  Area,Ready To Move,HMT Hills,2 BHK,BhncyRe,1180,2.0,2.0,50.0
1851,Super built-up  Area,Ready To Move,Gajularamaram,2 BHK,Kehts H,1260,2.0,2.0,58.0
1853,Built-up  Area,Ready To Move,Hitech City,2 BHK,DancyRe,1190,2.0,2.0,55.0
1854,Super built-up  Area,Ready To Move,Toli Chowki,3 BHK,Klark L,1691,3.0,2.0,119.0
1862,Super built-up  Area,Ready To Move,Kokapet,2 BHK,Mauil T,1250,2.0,2.0,65.0
1865,Built-up  Area,Ready To Move,Madhapur,2 BHK,N iewak,800,2.0,2.0,28.0
